# OBS   CHUNK_ID    START   STOP    TOTAL_TIME  RANGE
ER15	0  1366772391  1368975618 25.50  days    Apr 29 02:59 - May 24 15:00
O4		1  1368975618  1370097052 12.98  days    May 24 15:00 - Jun 06 14:30
O4		2  1370097052  1371306087 13.99  days    Jun 06 14:30 - Jun 20 14:21
O4		3  1371306087  1372546081 14.35  days    Jun 20 14:21 - Jul 04 22:47
O4		4  1372546081  1373711624 13.49  days    Jul 04 22:47 - Jul 18 10:33
O4		5  1373711624  1374936316 14.17  days    Jul 18 10:33 - Aug 01 14:44
O4		6  1374936316  1376144770 13.99  days    Aug 01 14:44 - Aug 15 14:25
O4		7  1376144770  1377355516 14.01  days    Aug 15 14:25 - Aug 29 14:44
O4		8  1377355516  1378565116 14.00  days    Aug 29 14:44 - Sep 12 14:44
O4		9  1378565116  1379774716 14.00  days    Sep 12 14:44 - Sep 26 14:44
O4		10  1379774716  1380984316 14.00  days    Sep 26 14:44 - Oct 10 14:44
O4		11  1380984316  1382195103 14.01  days    Oct 10 14:44 - Oct 24 15:04
O4		12  1382195103  1383404656 14.00  days    Oct 24 15:04 - Nov 07 15:03
O4		13  1383404656  1384588801 13.71  days    Nov 07 15:03 - Nov 21 07:59
O4		14  1384588801  1385822808 14.28  days    Nov 21 07:59 - Dec 05 14:46
O4		15  1385822808  1387206946 16.02  days    Dec 05 14:46 - Dec 21 15:15
O4		16  1387206946  1389455118 26.02  days    Dec 21 15:15 - Jan 16 15:45

ER16	0  1396191618  1396797018 7.01  days    Apr 03 15:00 - Apr 10 15:10
O4		17  1396797018  1397916131 12.95  days    Apr 10 15:10 - Apr 23 14:01
O4		18  1397916131  1399125676 14.00  days    Apr 23 14:01 - May 07 14:00
O4		19  1399125676  1400336542 14.01  days    May 07 14:00 - May 21 14:22
O4		20  1400336542  1401544825 13.98  days    May 21 14:22 - Jun 04 14:00
O4		21  1401544825  1402755796 14.02  days    Jun 04 14:00 - Jun 18 14:22
O4		22  1402755796  1403964034 13.98  days    Jun 18 14:22 - Jul 02 14:00
O4		23  1403964034  1405101618 13.17  days    Jul 02 14:00 - Jul 15 18:00
O4		24  1405101618  1406995218 21.92  days    Jul 15 18:00 - Aug 06 16:00
O4		25  1406995218  1408201218 13.96  days    Aug 06 16:00 - Aug 20 15:00
O4		26  1408201218  1409414418 14.04  days    Aug 20 15:00 - Sep 03 16:00
O4		27  1409414418  1410624791 14.01  days    Sep 03 16:00 - Sep 17 16:12
O4		28  1410624791  1411826605 13.91  days    Sep 17 16:12 - Oct 01 14:03
O4		29  1411826605  1412611218 9.08  days    Oct 01 14:03 - Oct 10 16:00
O4		30  1412611218  1414234818 18.79  days    Oct 10 16:00 - Oct 29 11:00
O4		31  1414234818  1416067218 21.21  days    Oct 29 11:00 - Nov 19 16:00
O4		32  1416067218  1417277718 14.01  days    Nov 19 16:00 - Dec 03 16:15
O4		33  1417283334  1418484143 13.90  days    Dec 03 17:48 - Dec 17 15:22
O4		34  1418484143  1419876390 16.11  days    Dec 17 15:22 - Jan 02 18:06
O4		35  1419876390  1420905931 11.92  days    Jan 02 18:06 - Jan 14 16:05
O4		36  1420905931  1422118818 14.04  days    Jan 14 16:05 - Jan 28 17:00
O4		37  1422118818  1423321361 13.92  days    Jan 28 17:00 - Feb 11 15:02
O4		38  1423321361  1424531333 14.00  days    Feb 11 15:02 - Feb 25 15:08
O4		39  1424531333  1425738131 13.97  days    Feb 25 15:08 - Mar 11 14:21
O4		40  1425738131  1427554818 21.03  days    Mar 11 14:21 - Apr 01 15:00
